Data Level,SCHOOL_YEAR,REPORTING_PERIOD,DISTRICT_NUMBER,DISTRICT_NAME,EMPLOYMENT_CATEGORY,GENDER,HEADCOUNT,FTE_VALUE,AVERAGE_AGE,AVERAGE_ANNUAL_SALARY_PER_FTE
District Level,2013/2014,Q1,20,Kootenay-Columbia,Educator,Female,177,166.004,46,70519
District Level,2013/2014,Q1,20,Kootenay-Columbia,Teacher,All,232,217.728,46,70696
District Level,2013/2014,Q1,20,Kootenay-Columbia,Teacher,Male,60,56.724,46,73697
District Level,2013/2014,Q1,20,Kootenay-Columbia,Teacher,Female,172,161.004,46,69663
District Level,2013/2014,Q4,20,Kootenay-Columbia,Administrator,All,17,17,50,105026
District Level,2013/2014,Q4,20,Kootenay-Columbia,Administrator,Male,Msk,Msk,Msk,Msk
District Level,2013/2014,Q4,20,Kootenay-Columbia,Administrator,Female,Msk,Msk,Msk,Msk
District Level,2013/2014,Q4,20,Kootenay-Columbia,Educator,All,234,220.922,47,74174
District Level,2013/2014,Q4,20,Kootenay-Columbia,Educator,Male,68,66.309,47,79800
District Level,2013/2014,Q4,20,Kootenay-Columbia,Educator,Female,166,154.613,47,71899
District Level,2013/2014,Q4,20,Kootenay-Columbia,Teacher,All,217,203.922,47,71923
District Level,2013/2014,Q4,20,Kootenay-Columbia,Teacher,Male,56,54.309,46,74533
District Level,2013/2014,Q4,20,Kootenay-Columbia,Teacher,Female,161,149.613,47,71019
District Level,2013/2014,Q1,22,Vernon,Administrator,All,42,42,48,102008
District Level,2013/2014,Q1,22,Vernon,Administrator,Male,20,20,48,103657
District Level,2013/2014,Q1,22,Vernon,Administrator,Female,22,22,49,100433
District Level,2013/2014,Q1,22,Vernon,Educator,All,526,480.5111,45,74980
District Level,2013/2014,Q1,22,Vernon,Educator,Male,178,170.1784,46,78006
District Level,2013/2014,Q1,22,Vernon,Educator,Female,348,310.3327,45,73466
District Level,2013/2014,Q1,22,Vernon,Teacher,All,484,438.5111,45,72811
District Level,2013/2014,Q1,22,Vernon,Teacher,Male,158,150.1784,46,74875
District Level,2013/2014,Q1,22,Vernon,Teacher,Female,326,288.3327,45,71836
District Level,2013/2014,Q4,22,Vernon,Administrator,All,43,43,48,134139
District Level,2013/2014,Q4,22,Vernon,Administrator,Male,19,19,47,172332
District Level,2013/2014,Q4,22,Vernon,Administrator,Female,24,24,49,100721
District Level,2013/2014,Q4,22,Vernon,Educator,All,530,482.8739,46,77662
District Level,2013/2014,Q4,22,Vernon,Educator,Male,178,170.2363,46,85672
District Level,2013/2014,Q4,22,Vernon,Educator,Female,352,312.6376,45,73647
District Level,2013/2014,Q4,22,Vernon,Teacher,All,487,439.8739,45,72973
District Level,2013/2014,Q4,22,Vernon,Teacher,Male,159,151.2363,46,75273
District Level,2013/2014,Q4,22,Vernon,Teacher,Female,328,288.6376,45,71876
District Level,2013/2014,Q1,23,Central Okanagan,Administrator,All,89,89,47,104231
District Level,2013/2014,Q1,23,Central Okanagan,Administrator,Male,57,57,46,104739
District Level,2013/2014,Q1,23,Central Okanagan,Administrator,Female,32,32,50,103326
District Level,2013/2014,Q1,23,Central Okanagan,Educator,All,1340,1267.4168,44,72603
District Level,2013/2014,Q1,23,Central Okanagan,Educator,Male,400,394.3514,45,77692
District Level,2013/2014,Q1,23,Central Okanagan,Educator,Female,940,873.0654,43,70437
District Level,2013/2014,Q1,23,Central Okanagan,Teacher,All,1251,1178.4168,44,70353
District Level,2013/2014,Q1,23,Central Okanagan,Teacher,Male,343,337.3514,45,73197
District Level,2013/2014,Q1,23,Central Okanagan,Teacher,Female,908,841.0654,43,69278
District Level,2013/2014,Q4,23,Central Okanagan,Administrator,All,91,91,47,104010
District Level,2013/2014,Q4,23,Central Okanagan,Administrator,Male,58,58,46,104586
District Level,2013/2014,Q4,23,Central Okanagan,Administrator,Female,33,33,49,102998
District Level,2013/2014,Q4,23,Central Okanagan,Educator,All,1348,1276.2706,44,73080
District Level,2013/2014,Q4,23,Central Okanagan,Educator,Male,405,400.0266,45,77770
District Level,2013/2014,Q4,23,Central Okanagan,Educator,Female,943,876.244,44,71065
District Level,2013/2014,Q4,23,Central Okanagan,Teacher,All,1257,1185.2706,44,70840
District Level,2013/2014,Q4,23,Central Okanagan,Teacher,Male,347,342.0266,45,73288
District Level,2013/2014,Q4,23,Central Okanagan,Teacher,Female,910,843.244,43,69907
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Administrator,All,39,39,48,97610
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Administrator,Male,25,25,48,100854
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Administrator,Female,14,14,49,91817
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Educator,All,364,337.834,46,69979
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Educator,Male,104,102.421,46,77964
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Educator,Female,260,235.413,46,67125
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Teacher,All,325,298.834,46,67105
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Teacher,Male,79,77.421,46,71151
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Teacher,Female,246,221.413,46,65937
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Administrator,All,40,40,49,98122
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Administrator,Male,25,25,49,100854
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Administrator,Female,15,15,50,93568
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Educator,All,372,345.671,46,69530
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Educator,Male,109,106.871,46,76832
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Educator,Female,263,238.8,45,66962
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Teacher,All,332,305.671,45,66685
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Teacher,Male,84,81.871,45,70159
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Teacher,Female,248,223.8,45,65683
District Level,2013/2014,Q1,28,Quesnel,Administrator,All,23,23,49,103596
District Level,2013/2014,Q1,28,Quesnel,Administrator,Male,12,12,49,101347
District Level,2013/2014,Q1,28,Quesnel,Administrator,Female,11,11,50,106050
District Level,2013/2014,Q1,28,Quesnel,Educator,All,253,237.6923,46,73090
District Level,2013/2014,Q1,28,Quesnel,Educator,Male,67,64.7139,48,78798
District Level,2013/2014,Q1,28,Quesnel,Educator,Female,186,172.9784,46,71214
District Level,2013/2014,Q1,28,Quesnel,Teacher,All,230,214.6923,46,70349
District Level,2013/2014,Q1,28,Quesnel,Teacher,Male,55,52.7139,48,74050
District Level,2013/2014,Q1,28,Quesnel,Teacher,Female,175,161.9784,45,69289
District Level,2013/2014,Q4,28,Quesnel,Administrator,All,22,22,50,105920
District Level,2013/2014,Q4,28,Quesnel,Administrator,Male,12,12,49,103799
District Level,2013/2014,Q4,28,Quesnel,Administrator,Female,10,10,51,108465
District Level,2013/2014,Q4,28,Quesnel,Educator,All,249,229.3994,46,73264
District Level,2013/2014,Q4,28,Quesnel,Educator,Male,66,63.5596,48,79393
District Level,2013/2014,Q4,28,Quesnel,Educator,Female,183,165.8398,46,71270
District Level,2013/2014,Q4,28,Quesnel,Teacher,All,227,207.3994,46,70447
District Level,2013/2014,Q4,28,Quesnel,Teacher,Male,54,51.5596,48,74164
District Level,2013/2014,Q4,28,Quesnel,Teacher,Female,173,155.8398,46,69401
District Level,2013/2014,Q1,33,Chilliwack,Administrator,All,62,62,46,89913
District Level,2013/2014,Q1,33,Chilliwack,Administrator,Male,39,39,46,88664
District Level,2013/2014,Q1,33,Chilliwack,Administrator,Female,23,23,48,92031
District Level,2013/2014,Q1,33,Chilliwack,Educator,All,803,750.4945,44,71585
District Level,2013/2014,Q1,33,Chilliwack,Educator,Male,264,258.71,45,75346
District Level,2013/2014,Q1,33,Chilliwack,Educator,Female,539,491.7845,43,69882
District Level,2013/2014,Q1,33,Chilliwack,Teacher,All,741,688.4945,44,70267
District Level,2013/2014,Q1,33,Chilliwack,Teacher,Male,225,219.71,45,73260
District Level,2013/2014,Q1,33,Chilliwack,Teacher,Female,516,468.7845,43,69051
District Level,2013/2014,Q4,33,Chilliwack,Administrator,All,65,65,47,89404
District Level,2013/2014,Q4,33,Chilliwack,Administrator,Male,39,39,46,88559
District Level,2013/2014,Q4,33,Chilliwack,Administrator,Female,26,26,48,90671
District Level,2013/2014,Q4,33,Chilliwack,Educator,All,817,761.817,45,71665
