Data Level,SCHOOL_YEAR,REPORTING_PERIOD,DISTRICT_NUMBER,DISTRICT_NAME,EMPLOYMENT_CATEGORY,GENDER,HEADCOUNT,FTE_VALUE,AVERAGE_AGE,AVERAGE_ANNUAL_SALARY_PER_FTE
District Level,2013/2014,Q4,22,Vernon,Administrator,Female,24.0,24.0,49.0,100721.0
District Level,2013/2014,Q4,22,Vernon,Educator,All,530.0,482.8739,46.0,77662.0
District Level,2013/2014,Q4,22,Vernon,Educator,Male,178.0,170.2363,46.0,85672.0
District Level,2013/2014,Q4,22,Vernon,Educator,Female,352.0,312.6376,45.0,73647.0
District Level,2013/2014,Q4,22,Vernon,Teacher,All,487.0,439.8739,45.0,72973.0
District Level,2013/2014,Q4,22,Vernon,Teacher,Male,159.0,151.2363,46.0,75273.0
District Level,2013/2014,Q4,22,Vernon,Teacher,Female,328.0,288.6376,45.0,71876.0
District Level,2013/2014,Q1,23,Central Okanagan,Administrator,All,89.0,89.0,47.0,104231.0
District Level,2013/2014,Q1,23,Central Okanagan,Administrator,Male,57.0,57.0,46.0,104739.0
District Level,2013/2014,Q1,23,Central Okanagan,Administrator,Female,32.0,32.0,50.0,103326.0
District Level,2013/2014,Q1,23,Central Okanagan,Educator,All,1340.0,1267.4168,44.0,72603.0
District Level,2013/2014,Q1,23,Central Okanagan,Educator,Male,400.0,394.3514,45.0,77692.0
District Level,2013/2014,Q1,23,Central Okanagan,Educator,Female,940.0,873.0654,43.0,70437.0
District Level,2013/2014,Q1,23,Central Okanagan,Teacher,All,1251.0,1178.4168,44.0,70353.0
District Level,2013/2014,Q1,23,Central Okanagan,Teacher,Male,343.0,337.3514,45.0,73197.0
District Level,2013/2014,Q1,23,Central Okanagan,Teacher,Female,908.0,841.0654,43.0,69278.0
District Level,2013/2014,Q4,23,Central Okanagan,Administrator,All,91.0,91.0,47.0,104010.0
District Level,2013/2014,Q4,23,Central Okanagan,Administrator,Male,58.0,58.0,46.0,104586.0
District Level,2013/2014,Q4,23,Central Okanagan,Administrator,Female,33.0,33.0,49.0,102998.0
District Level,2013/2014,Q4,23,Central Okanagan,Educator,All,1348.0,1276.2706,44.0,73080.0
District Level,2013/2014,Q4,23,Central Okanagan,Educator,Male,405.0,400.0266,45.0,77770.0
District Level,2013/2014,Q4,23,Central Okanagan,Educator,Female,943.0,876.244,44.0,71065.0
District Level,2013/2014,Q4,23,Central Okanagan,Teacher,All,1257.0,1185.2706,44.0,70840.0
District Level,2013/2014,Q4,23,Central Okanagan,Teacher,Male,347.0,342.0266,45.0,73288.0
District Level,2013/2014,Q4,23,Central Okanagan,Teacher,Female,910.0,843.244,43.0,69907.0
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Administrator,All,39.0,39.0,48.0,97610.0
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Administrator,Male,25.0,25.0,48.0,100854.0
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Administrator,Female,14.0,14.0,49.0,91817.0
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Educator,All,364.0,337.834,46.0,69979.0
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Educator,Male,104.0,102.421,46.0,77964.0
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Educator,Female,260.0,235.413,46.0,67125.0
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Teacher,All,325.0,298.834,46.0,67105.0
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Teacher,Male,79.0,77.421,46.0,71151.0
District Level,2013/2014,Q1,27,Cariboo-Chilcotin,Teacher,Female,246.0,221.413,46.0,65937.0
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Administrator,All,40.0,40.0,49.0,98122.0
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Administrator,Male,25.0,25.0,49.0,100854.0
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Administrator,Female,15.0,15.0,50.0,93568.0
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Educator,All,372.0,345.671,46.0,69530.0
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Educator,Male,109.0,106.871,46.0,76832.0
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Educator,Female,263.0,238.8,45.0,66962.0
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Teacher,All,332.0,305.671,45.0,66685.0
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Teacher,Male,84.0,81.871,45.0,70159.0
District Level,2013/2014,Q4,27,Cariboo-Chilcotin,Teacher,Female,248.0,223.8,45.0,65683.0
District Level,2013/2014,Q1,28,Quesnel,Administrator,All,23.0,23.0,49.0,103596.0
District Level,2013/2014,Q1,28,Quesnel,Administrator,Male,12.0,12.0,49.0,101347.0
District Level,2013/2014,Q1,28,Quesnel,Administrator,Female,11.0,11.0,50.0,106050.0
District Level,2013/2014,Q1,28,Quesnel,Educator,All,253.0,237.6923,46.0,73090.0
District Level,2013/2014,Q1,28,Quesnel,Educator,Male,67.0,64.7139,48.0,78798.0
District Level,2013/2014,Q1,28,Quesnel,Educator,Female,186.0,172.9784,46.0,71214.0
District Level,2013/2014,Q1,28,Quesnel,Teacher,All,230.0,214.6923,46.0,70349.0
District Level,2013/2014,Q1,28,Quesnel,Teacher,Male,55.0,52.7139,48.0,74050.0
District Level,2013/2014,Q1,28,Quesnel,Teacher,Female,175.0,161.9784,45.0,69289.0
District Level,2013/2014,Q4,28,Quesnel,Administrator,All,22.0,22.0,50.0,105920.0
District Level,2013/2014,Q4,28,Quesnel,Administrator,Male,12.0,12.0,49.0,103799.0
District Level,2013/2014,Q4,28,Quesnel,Administrator,Female,10.0,10.0,51.0,108465.0
District Level,2013/2014,Q4,28,Quesnel,Educator,All,249.0,229.3994,46.0,73264.0
District Level,2013/2014,Q4,28,Quesnel,Educator,Male,66.0,63.5596,48.0,79393.0
District Level,2013/2014,Q4,28,Quesnel,Educator,Female,183.0,165.8398,46.0,71270.0
District Level,2013/2014,Q4,28,Quesnel,Teacher,All,227.0,207.3994,46.0,70447.0
District Level,2013/2014,Q4,28,Quesnel,Teacher,Male,54.0,51.5596,48.0,74164.0
District Level,2013/2014,Q4,28,Quesnel,Teacher,Female,173.0,155.8398,46.0,69401.0
District Level,2013/2014,Q1,33,Chilliwack,Administrator,All,62.0,62.0,46.0,89913.0
District Level,2013/2014,Q1,33,Chilliwack,Administrator,Male,39.0,39.0,46.0,88664.0
District Level,2013/2014,Q1,33,Chilliwack,Administrator,Female,23.0,23.0,48.0,92031.0
District Level,2013/2014,Q1,33,Chilliwack,Educator,All,803.0,750.4945,44.0,71585.0
District Level,2013/2014,Q1,33,Chilliwack,Educator,Male,264.0,258.71,45.0,75346.0
District Level,2013/2014,Q1,33,Chilliwack,Educator,Female,539.0,491.7845,43.0,69882.0
District Level,2013/2014,Q1,33,Chilliwack,Teacher,All,741.0,688.4945,44.0,70267.0
District Level,2013/2014,Q1,33,Chilliwack,Teacher,Male,225.0,219.71,45.0,73260.0
District Level,2013/2014,Q1,33,Chilliwack,Teacher,Female,516.0,468.7845,43.0,69051.0
